parents,husband,wife,husband_id,wife_id,n_sons,sons,n_daughters,daughters,n_unknown_sex,epic,source,comments,row_type,historicity,family_id
Mahacula Mahatissa and Anula,Mahacula Mahatissa,Anula,mahavamsa::mahacula_mahatissa,mahavamsa::anula_wife_of_mahacula,2,"Kalkanni Tissa, Tissa IV",0,,0,mahavamsa,Mahavamsa Ch.33,King of Lanka 76-62 BC; Anula later married Cora (Mahanaga),couple,historical,
Cora and Anula,Cora,Anula,mahavamsa::cora,mahavamsa::anula_wife_of_mahacula,0,,0,,0,mahavamsa,Mahavamsa Ch.33,also called Mahanaga; King of Lanka 62-50 BC; son of Vatta Gamani; married Anula previously wife of Mahacula Mahatissa,couple,historical,
Kalkanni Tissa,Kalkanni Tissa,,mahavamsa::kalkanni_tissa,,1,Bhatikabhaya,0,,0,mahavamsa,Mahavamsa Ch.33,King of Lanka 44-22 BC,couple,historical,
Mahadathia Mahanaga,Mahadathia Mahanaga,,mahavamsa::mahadathia_mahanaga,,2,"Amanda Gamani, Kanijanu Tissa",0,,0,mahavamsa,Mahavamsa Ch.33,King 7-19 AD; brother of Bhatikabhaya,couple,historical,
Amanda Gamani,Amanda Gamani,,mahavamsa::amanda_gamani,,1,Culabhaya,1,Sivali,0,mahavamsa,Mahavamsa Ch.33,King 19-29 AD; Sivali was queen regnant,couple,historical,
Kanijanu Tissa,Kanijanu Tissa,,mahavamsa::kanijanu_tissa,,1,Ilanaga,0,,0,mahavamsa,Mahavamsa Ch.35,King 29-32 AD,couple,historical,
Ilanaga and Mahamatta,Ilanaga,Mahamatta,mahavamsa::ilanaga,mahavamsa::mahamatta_wife_of_ilanaga,2,"Candumukha Siva, Yasalalaka Tissa",0,,0,mahavamsa,Mahavamsa Ch.35,King 33-43 AD,couple,historical,
,Sena I and Guttika,,,,0,,0,,0,mahavamsa,Mahavamsa Ch.21,Tamil usurpers; ruled 237-215 BC; killed Suratissa,usurper,historical,
,Elara,,,,0,,0,,0,mahavamsa,Mahavamsa Ch.21,Chola invader; ruled 205-161 BC; defeated by Duttha Gamani,usurper,historical,
,Pulahattha,,,,0,,0,,0,mahavamsa,Mahavamsa Ch.33,Tamil usurper; ruled 103-100 BC,usurper,historical,
,Bahiya,,,,0,,0,,0,mahavamsa,Mahavamsa Ch.33,Tamil usurper; ruled 100-98 BC,usurper,historical,
,Panayamara,,,,0,,0,,0,mahavamsa,Mahavamsa Ch.33,Tamil usurper; ruled 98-91 BC,usurper,historical,
,Pilayamara,,,,0,,0,,0,mahavamsa,Mahavamsa Ch.33,Tamil usurper; ruled 91-90 BC,usurper,historical,
,Dathiya I,,,,0,,0,,0,mahavamsa,Mahavamsa Ch.33,Tamil usurper; ruled 90-89 BC,usurper,historical,
,Subha,,mahavamsa::subha,,0,,0,,0,mahavamsa,Mahavamsa Ch.35,hall porter who killed Yasalalaka Tissa; King 60-67 AD,couple,historical,
Vasabha and Metta,Vasabha,Metta,mahavamsa::vasabha,mahavamsa::metta,1,Vankanasika Tissa,0,,0,mahavamsa,Mahavamsa Ch.35,Lambakanna race; King 67-111 AD,couple,historical,
Vankanasika Tissa and Mahamatta,Vankanasika Tissa,Mahamatta,mahavamsa::vankanasika_tissa,mahavamsa::mahamatta_wife_of_vankanasika,0,,0,,0,mahavamsa,Mahavamsa Ch.35,King 111-114 AD; son of Vasabha,couple,historical,
Mahallaka Naga,Mahallaka Naga,,mahavamsa::mahallaka_naga,,2,"Kanittha Tissa, Bhatika Tissa",1,Queen,0,mahavamsa,Mahavamsa Ch.35,King 136-143 AD; unnamed daughter married Gajabahu I,couple,historical,
Gajabahu I and Queen,Gajabahu I,Queen,mahavamsa::gajabahu_i,mahavamsa::queen_daughter_of_mahallaka_naga,0,,0,,0,mahavamsa,Mahavamsa Ch.35,King 114-136 AD; Queen was daughter of Mahallaka Naga,couple,historical,
Kanittha Tissa,Kanittha Tissa,,mahavamsa::kanittha_tissa,,2,"Culanaga, Kuddanaga",0,,0,mahavamsa,Mahavamsa Ch.35-36,King 167-186 AD,couple,historical,
Kuddanaga and Queen,Kuddanaga,Queen,mahavamsa::kuddanaga,mahavamsa::queen_wife_of_kuddanaga,1,Sirinaga I,0,,0,mahavamsa,Mahavamsa Ch.36,King 187-189 AD,couple,historical,
Subhadeva,Subhadeva,,mahavamsa::subhadeva,,0,,1,Queen,0,mahavamsa,Mahavamsa Ch.36,daughter married Voharika Tissa,couple,historical,
Sirinaga I,Sirinaga I,,mahavamsa::sirinaga_i,,2,"Abhayanaga, Voharika Tissa",0,,0,mahavamsa,Mahavamsa Ch.36,King 189-209 AD,couple,historical,
Voharika Tissa and Queen,Voharika Tissa,Queen,mahavamsa::voharika_tissa,mahavamsa::queen_daughter_of_subhadeva,1,Sirinaga II,0,,0,mahavamsa,Mahavamsa Ch.36,King 209-231 AD; Queen was daughter of Subhadeva,couple,historical,
Sirinaga II,Sirinaga II,,mahavamsa::sirinaga_ii,,1,Vijaya II,0,,0,mahavamsa,Mahavamsa Ch.36,King 240-242 AD,couple,historical,
Vijaya II,Vijaya II,,mahavamsa::vijaya_ii,,0,,0,,0,mahavamsa,Mahavamsa Ch.36,King 242-243 AD; killed by Sanghatissa I,couple,historical,
,Sanghatissa I,,mahavamsa::sanghatissa_i,,0,,0,,0,mahavamsa,Mahavamsa Ch.36,Lambakanna; killed Vijaya II; King 243-247 AD,couple,historical,
,Siri Sangha Bodhi I,,mahavamsa::siri_sangha_bodhi_i,,0,,0,,0,mahavamsa,Mahavamsa Ch.36,Lambakanna race; King 247-249 AD,couple,historical,
Gothabhaya (Lambakanna),Gothabhaya,,mahavamsa::gothabhaya_lambakanna,,2,"Jettha Tissa I, Mahasena",0,,0,mahavamsa,Mahavamsa Ch.36-37,Lambakanna race; King 249-262 AD; different from Gothabhaya of Ruhuna in Tree I,couple,historical,
