parents,husband,wife,husband_id,wife_id,child_name,child_sex,child_order,epic,source,comments,row_type,historicity,family_id
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,37,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,38,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,39,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,40,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Vinata,Kashyapa,Vinata,bhagavata_purana::kashyapa,bhagavata_purana::vinata,Garuda,male,1,bhagavata_purana,Vishnu Purana 1.21; Mahabharata Adi Parva Ch.16,also in Mahabharata,couple,mythological,
Kashyapa and Vinata,Kashyapa,Vinata,bhagavata_purana::kashyapa,bhagavata_purana::vinata,Aruna,male,2,bhagavata_purana,Vishnu Purana 1.21; Mahabharata Adi Parva Ch.16,also in Mahabharata,couple,mythological,
Manu (Svayambhuva) and Shatarupa,Manu,Shatarupa,bhagavata_purana::manu,bhagavata_purana::shatarupa,Priyavrata,male,1,bhagavata_purana,Bhagavata Purana 3.12.56; 4.1.1-7,first Manu,couple,mythological,
Manu (Svayambhuva) and Shatarupa,Manu,Shatarupa,bhagavata_purana::manu,bhagavata_purana::shatarupa,Uttanapada,male,2,bhagavata_purana,Bhagavata Purana 3.12.56; 4.1.1-7,first Manu,couple,mythological,
Manu (Svayambhuva) and Shatarupa,Manu,Shatarupa,bhagavata_purana::manu,bhagavata_purana::shatarupa,Akuti,female,3,bhagavata_purana,Bhagavata Purana 3.12.56; 4.1.1-7,first Manu,couple,mythological,
Manu (Svayambhuva) and Shatarupa,Manu,Shatarupa,bhagavata_purana::manu,bhagavata_purana::shatarupa,Devahuti,female,4,bhagavata_purana,Bhagavata Purana 3.12.56; 4.1.1-7,first Manu,couple,mythological,
Manu (Svayambhuva) and Shatarupa,Manu,Shatarupa,bhagavata_purana::manu,bhagavata_purana::shatarupa,Prasuti,female,5,bhagavata_purana,Bhagavata Purana 3.12.56; 4.1.1-7,first Manu,couple,mythological,
Marichi and Kala,Marichi,Kala,bhagavata_purana::marichi,bhagavata_purana::kala,Kashyapa,male,1,bhagavata_purana,Vishnu Purana 1.10; Bhagavata Purana 6.6,Kashyapa = father of Devas and Asuras,couple,mythological,
Sagara and Keshini,Sagara,Keshini,bhagavata_purana::sagara,bhagavata_purana::keshini,Asamanja,male,1,bhagavata_purana,Bhagavata Purana 9.8.14-17; Ramayana Bala Kanda,Asamanja's son = Anshuman,couple,mythological,
Sagara and Sumati,Sagara,Sumati,bhagavata_purana::sagara,bhagavata_purana::sumati,60000 sons (burned by Kapila's gaze),male,1,bhagavata_purana,Bhagavata Purana 9.8; Ramayana Bala Kanda Ch.38-42,Sagara's sons dug ocean searching for horse,mythical_count,mythological,
Sagara and Sumati,Sagara,Sumati,bhagavata_purana::sagara,bhagavata_purana::sumati,60000 sons (mythical count),male,2,bhagavata_purana,Bhagavata Purana 9.8; Ramayana Bala Kanda Ch.38-42,Sagara's sons dug ocean searching for horse,mythical_count,mythological,
Uttanapada and Suniti,Uttanapada,Suniti,bhagavata_purana::uttanapada,bhagavata_purana::suniti,Dhruva,male,1,bhagavata_purana,Bhagavata Purana 4.8-9,Dhruva via Suniti; Uttama via Suruchi (second wife); Dhruva = pole star devotee,couple,legendary,
Uttanapada and Suniti,Uttanapada,Suniti,bhagavata_purana::uttanapada,bhagavata_purana::suniti,Uttama,male,2,bhagavata_purana,Bhagavata Purana 4.8-9,Dhruva via Suniti; Uttama via Suruchi (second wife); Dhruva = pole star devotee,couple,legendary,
Vasishtha and Arundhati,Vasishtha,Arundhati,bhagavata_purana::vasishtha,bhagavata_purana::arundhati,Chitraketu,male,1,bhagavata_purana,Vishnu Purana 1.10.13; Bhagavata Purana 4.1.40,,couple,legendary,
Vasishtha and Arundhati,Vasishtha,Arundhati,bhagavata_purana::vasishtha,bhagavata_purana::arundhati,Surochi,male,2,bhagavata_purana,Vishnu Purana 1.10.13; Bhagavata Purana 4.1.40,,couple,legendary,
Vasishtha and Arundhati,Vasishtha,Arundhati,bhagavata_purana::vasishtha,bhagavata_purana::arundhati,Viraja,male,3,bhagavata_purana,Vishnu Purana 1.10.13; Bhagavata Purana 4.1.40,,couple,legendary,
Vasishtha and Arundhati,Vasishtha,Arundhati,bhagavata_purana::vasishtha,bhagavata_purana::arundhati,Mitra,male,4,bhagavata_purana,Vishnu Purana 1.10.13; Bhagavata Purana 4.1.40,,couple,legendary,
Vasishtha and Arundhati,Vasishtha,Arundhati,bhagavata_purana::vasishtha,bhagavata_purana::arundhati,Ulbana,male,5,bhagavata_purana,Vishnu Purana 1.10.13; Bhagavata Purana 4.1.40,,couple,legendary,
Vasishtha and Arundhati,Vasishtha,Arundhati,bhagavata_purana::vasishtha,bhagavata_purana::arundhati,Vasubhrdyana,male,6,bhagavata_purana,Vishnu Purana 1.10.13; Bhagavata Purana 4.1.40,,couple,legendary,
Vasishtha and Arundhati,Vasishtha,Arundhati,bhagavata_purana::vasishtha,bhagavata_purana::arundhati,Dyumat,male,7,bhagavata_purana,Vishnu Purana 1.10.13; Bhagavata Purana 4.1.40,,couple,legendary,
Anjana and wife (Koliya king),Anjana,unknown,buddhist::anjana,,Suppabuddha,male,1,buddhist,Mahavastu; Nidanakatha; Wikipedia 'Family of Gautama Buddha',maternal grandfather of the Buddha,spouse_unnamed,legendary,
Anjana and wife (Koliya king),Anjana,unknown,buddhist::anjana,,Dandapani,male,2,buddhist,Mahavastu; Nidanakatha; Wikipedia 'Family of Gautama Buddha',maternal grandfather of the Buddha,spouse_unnamed,legendary,
Anjana and wife (Koliya king),Anjana,unknown,buddhist::anjana,,Maya,female,3,buddhist,Mahavastu; Nidanakatha; Wikipedia 'Family of Gautama Buddha',maternal grandfather of the Buddha,spouse_unnamed,legendary,
Anjana and wife (Koliya king),Anjana,unknown,buddhist::anjana,,Mahapajapati Gotami,female,4,buddhist,Mahavastu; Nidanakatha; Wikipedia 'Family of Gautama Buddha',maternal grandfather of the Buddha,spouse_unnamed,legendary,
Siddhartha and Yasodhara,Siddhartha,Yasodhara,buddhist::siddhartha,buddhist::yasodhara,Rahula,male,1,buddhist,Majjhima Nikaya 61; Buddhacarita 2.46; Jataka Nidanakatha,Rahula = 'fetter'; born night of Great Renunciation,couple,legendary,
Suddhodana and Mahapajapati Gotami,Suddhodana,Mahapajapati Gotami,buddhist::suddhodana,buddhist::mahapajapati_gotami,Nanda,male,1,buddhist,Therigatha; Anguttara Nikaya 1.24; Wikipedia 'Family of Gautama Buddha',Mahapajapati was Maya's sister; raised Siddhartha,couple,legendary,
Suddhodana and Mahapajapati Gotami,Suddhodana,Mahapajapati Gotami,buddhist::suddhodana,buddhist::mahapajapati_gotami,Sundari Nanda,female,2,buddhist,Therigatha; Anguttara Nikaya 1.24; Wikipedia 'Family of Gautama Buddha',Mahapajapati was Maya's sister; raised Siddhartha,couple,legendary,
Suddhodana and Maya,Suddhodana,Maya,buddhist::suddhodana,buddhist::maya,Siddhartha Gautama (the Buddha),male,1,buddhist,Buddhacarita (Ashvaghosha) 1.1-25; Nidanakatha (Jataka commentary),Maya died 7 days after birth,couple,legendary,
Suppabuddha and Amita,Suppabuddha,Amita,buddhist::suppabuddha,buddhist::amita,Devadatta,male,1,buddhist,Mahavastu; Nidanakatha; Wikipedia 'Yasodhara',Devadatta = Buddha's rival cousin; Yasodhara = his wife,couple,legendary,
Suppabuddha and Amita,Suppabuddha,Amita,buddhist::suppabuddha,buddhist::amita,Yasodhara,female,2,buddhist,Mahavastu; Nidanakatha; Wikipedia 'Yasodhara',Devadatta = Buddha's rival cousin; Yasodhara = his wife,couple,legendary,
Cú Chulainn and Aífe,Cú Chulainn,Aífe,celtic::c_chulainn,celtic::afe,Connla,male,1,celtic,Aided Óenfhir Aífe (Death of Aífe's Only Son),killed unknowingly by his father,couple,legendary,
Dagda and Boann,Dagda,Boann,celtic::dagda,celtic::boann,Aengus,male,1,celtic,Lebor Gabála Érenn; Cath Maige Tuired,Aengus via Boann; others by various consorts; Dagda = chief god of Tuatha Dé Danann,couple,mythological,
Dagda and Boann,Dagda,Boann,celtic::dagda,celtic::boann,Bodb Derg,male,2,celtic,Lebor Gabála Érenn; Cath Maige Tuired,Aengus via Boann; others by various consorts; Dagda = chief god of Tuatha Dé Danann,couple,mythological,
Dagda and Boann,Dagda,Boann,celtic::dagda,celtic::boann,Cermait,male,3,celtic,Lebor Gabála Érenn; Cath Maige Tuired,Aengus via Boann; others by various consorts; Dagda = chief god of Tuatha Dé Danann,couple,mythological,
Dagda and Boann,Dagda,Boann,celtic::dagda,celtic::boann,Brigid,female,4,celtic,Lebor Gabála Érenn; Cath Maige Tuired,Aengus via Boann; others by various consorts; Dagda = chief god of Tuatha Dé Danann,couple,mythological,
Lir and Aobh,Lir,Aobh,celtic::lir,celtic::aobh,Aed,male,1,celtic,Oidhe Chloinne Lir (Children of Lir),Aobh died; children later cursed by stepmother Aoife; turned into swans by stepmother Aoife,couple,mythological,
Lir and Aobh,Lir,Aobh,celtic::lir,celtic::aobh,Fiachra,male,2,celtic,Oidhe Chloinne Lir (Children of Lir),Aobh died; children later cursed by stepmother Aoife; turned into swans by stepmother Aoife,couple,mythological,
Lir and Aobh,Lir,Aobh,celtic::lir,celtic::aobh,Conn,male,3,celtic,Oidhe Chloinne Lir (Children of Lir),Aobh died; children later cursed by stepmother Aoife; turned into swans by stepmother Aoife,couple,mythological,
Lir and Aobh,Lir,Aobh,celtic::lir,celtic::aobh,Fionnuala,female,4,celtic,Oidhe Chloinne Lir (Children of Lir),Aobh died; children later cursed by stepmother Aoife; turned into swans by stepmother Aoife,couple,mythological,
Llŷr and Penarddun,Llŷr,Penarddun,celtic::llr,celtic::penarddun,Brân,male,1,celtic,"Mabinogion, Second Branch (Branwen ferch Llŷr)",Welsh tradition (Mabinogion); Welsh; cognate with Irish Lir,couple,mythological,
Llŷr and Penarddun,Llŷr,Penarddun,celtic::llr,celtic::penarddun,Manawydan,male,2,celtic,"Mabinogion, Second Branch (Branwen ferch Llŷr)",Welsh tradition (Mabinogion); Welsh; cognate with Irish Lir,couple,mythological,
Llŷr and Penarddun,Llŷr,Penarddun,celtic::llr,celtic::penarddun,Branwen,female,3,celtic,"Mabinogion, Second Branch (Branwen ferch Llŷr)",Welsh tradition (Mabinogion); Welsh; cognate with Irish Lir,couple,mythological,
Lugh and Deichtine,Lugh,Deichtine,celtic::lugh,celtic::deichtine,Cú Chulainn,male,1,celtic,Lebor Gabála Érenn; Compert Con Culainn,Cú Chulainn; some traditions say immaculate conception by Deichtine alone,couple,legendary,
Pwyll and Rhiannon,Pwyll,Rhiannon,celtic::pwyll,celtic::rhiannon,Pryderi,male,1,celtic,"Mabinogion, First Branch (Pwyll Pendefig Dyfed)",Welsh mythology,couple,legendary,
Herod and Doris,Herod,Doris,christian_nt::herod,christian_nt::doris,Antipater,male,1,christian_nt,Josephus Antiquities 14.12.1; 17.1,first wife; Antipater executed by Herod,couple,historical,
Herod and Malthace,Herod,Malthace,christian_nt::herod,christian_nt::malthace,Herod Antipas,male,1,christian_nt,Josephus Antiquities 17.1.3,Antipas = ruler who beheaded John the Baptist,couple,historical,
Herod and Malthace,Herod,Malthace,christian_nt::herod,christian_nt::malthace,Herod Archelaus,male,2,christian_nt,Josephus Antiquities 17.1.3,Antipas = ruler who beheaded John the Baptist,couple,historical,
Herod and Mariamne I,Herod,Mariamne I,christian_nt::herod,christian_nt::mariamne_i,Alexander,male,1,christian_nt,Josephus Antiquities 15.7; 16.1,Mariamne I executed by Herod,couple,historical,
Herod and Mariamne I,Herod,Mariamne I,christian_nt::herod,christian_nt::mariamne_i,Aristobulus,male,2,christian_nt,Josephus Antiquities 15.7; 16.1,Mariamne I executed by Herod,couple,historical,
Herod and Mariamne I,Herod,Mariamne I,christian_nt::herod,christian_nt::mariamne_i,Salampsio,female,3,christian_nt,Josephus Antiquities 15.7; 16.1,Mariamne I executed by Herod,couple,historical,
Herod and Mariamne I,Herod,Mariamne I,christian_nt::herod,christian_nt::mariamne_i,Cypros,female,4,christian_nt,Josephus Antiquities 15.7; 16.1,Mariamne I executed by Herod,couple,historical,
